"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2022-06-15 22:30:25","233453866","ADABNB","Limit","BUY","0.00212","4700ADA","2022-06-23 07:12:46","4700ADA","0.00212","9.964BNB","FILLED"
"2022-06-15 22:25:09","295945675","ADAEUR","Limit","BUY","0.4888","888ADA","2022-06-16 06:32:32","888ADA","0.4888","434.0544EUR","FILLED"
"2022-06-15 22:17:14","5138199495","BTCBUSD","Limit","BUY","21888.11","0.1BTC","2022-06-16 06:22:50","0.1BTC","21888.11","2188.811BUSD","FILLED"
"2022-06-15 10:41:26","982892499","SOLBUSD","Limit","SELL","29.29","75SOL","2022-06-15 12:15:29","75SOL","29.29","2196.75BUSD","FILLED"
"2022-06-11 22:03:32","966628437","SOLBUSD","Limit","SELL","36.66","75SOL","2022-06-15 10:38:51","0SOL","0","0BUSD","CANCELED"
"2022-06-11 02:52:44","964397961","SOLBUSD","Limit","SELL","38.38","75SOL","2022-06-11 22:02:21","0SOL","0","0BUSD","CANCELED"
"2022-06-08 12:44:16","1712158944","ETHEUR","Limit","BUY","1640.44","6ETH","2022-06-10 12:34:24","6ETH","1640.44","9842.64EUR","FILLED"
"2022-06-01 07:47:30","783296917","ADABUSD","Limit","BUY","0.5678","3690ADA","2022-06-01 15:59:40","3690ADA","0.5678","2095.182BUSD","FILLED"
"2022-06-01 07:45:09","1252330564","BNBBUSD","Limit","SELL","321.1","10BNB","2022-06-05 21:53:25","0BNB","0","0BUSD","CANCELED"
"2022-05-30 20:51:17","143906592","AVAXEUR","Limit","BUY","23.66","200AVAX","2022-06-01 04:10:04","200AVAX","23.66","4732EUR","FILLED"
"2022-05-30 20:49:10","466205432","AVAXBUSD","Limit","BUY","25.55","80AVAX","2022-05-30 20:51:39","0AVAX","0","0BUSD","CANCELED"
"2022-05-30 20:46:55","103085473","ARBUSD","Limit","BUY","13.33","150AR","2022-06-01 20:27:04","150AR","13.33","1999.5BUSD","FILLED"
"2022-05-30 20:44:44","297863637","RUNEBUSD","Limit","BUY","2.666","200RUNE","2022-06-03 14:40:48","200RUNE","2.666","533.2BUSD","FILLED"
"2022-05-30 20:40:41","514605967","MATICBUSD","Limit","BUY","0.611","1500MATIC","2022-06-01 17:08:35","1500MATIC","0.611","916.5BUSD","FILLED"
"2022-05-29 10:36:32","930909222","SOLBUSD","Limit","SELL","44.22","125SOL","2022-05-29 12:03:59","125SOL","44.22","5527.5BUSD","FILLED"
"2022-05-20 06:09:48","179993515","LINKEUR","Limit","BUY","6.44","340LINK","2022-05-20 16:08:06","340LINK","6.44","2189.6EUR","FILLED"
"2022-05-15 20:40:27","2843335","FTMEUR","Limit","BUY","0.3377","1810FTM","2022-05-16 06:26:33","1810FTM","0.3377","611.237EUR","FILLED"
"2022-05-15 20:38:22","53272662","UNIEUR","Limit","BUY","4.55","150UNI","2022-05-19 01:56:49","150UNI","4.55","682.5EUR","FILLED"
