"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-04-07 04:51:43","000318149217","AVAXEUR","BUY","BUY","14.22","300.0","2025-04-07 04:51:43","300.0AVAX","14.22","4266.0EUR","Filled"
"2025-04-07 04:48:47","000050797300","EUREURI","BUY","BUY","0.0","4999.1","2025-04-07 04:48:47","4999.1EUR","1.0008","5003.09928EURI","Filled"
"2025-04-07 04:42:26","000032610772","POLEUR","BUY","BUY","0.1509","1500.0","2025-04-07 04:42:26","1500.0POL","0.15021416","225.32123EUR","Filled"
"2025-04-07 04:39:35","000475264840","DOTEUR","BUY","BUY","3.177","1500.0","2025-04-07 04:39:35","1500.0DOT","3.177","4765.5EUR","Filled"
"2025-04-07 04:37:00","000050794521","EUREURI","BUY","BUY","0.0","4994.0","2025-04-07 04:37:00","4994.0EUR","1.00119029","4999.94428EURI","Filled"
"2025-04-07 04:31:52","000266056035","DOTUSDC","BUY","BUY","0.0","549.26","2025-04-07 04:31:52","549.26DOT","3.532","1939.98632USDC","Filled"
"2025-04-06 17:21:08","000265108575","DOTUSDC","BUY","BUY","3.838","1100.0","2025-04-06 17:21:08","1100.0DOT","3.838","4221.8USDC","Filled"
"2025-04-06 17:11:27","001419945112","XRPUSDC","BUY","BUY","2.0202","250.0","2025-04-06 17:11:27","250.0XRP","2.0202","505.05USDC","Filled"
"2025-04-06 17:08:30","000096927167","POLUSDC","BUY","BUY","0.1802","8000.0","2025-04-06 17:08:30","8000.0POL","0.1802","1441.6USDC","Filled"
"2025-04-06 17:00:16","000063751530","TONUSDC","BUY","BUY","3.033","3.0","2025-04-06 17:00:16","3.0TON","3.033","9.099USDC","Filled"
"2025-04-06 16:56:10","000109909804","TAOUSDC","BUY","BUY","202.2","4.9","2025-04-06 16:56:10","4.9TAO","202.2","990.78USDC","Filled"
"2025-04-06 16:52:39","000109907260","TAOUSDC","BUY","BUY","0.0","4.8923","2025-04-06 16:52:39","4.8923TAO","204.4","999.98612USDC","Filled"
"2025-04-06 11:57:04","000264942832","DOTUSDC","BUY","BUY","3.818","30.0","2025-04-06 11:57:04","30.0DOT","3.818","114.54USDC","Filled"
"2025-04-06 11:55:32","000264942488","DOTUSDC","BUY","BUY","0.0","2035.63","2025-04-06 11:55:32","2035.63DOT","3.92997624","7999.97753USDC","Filled"
"2025-03-29 20:00:29","001366239825","XRPUSDC","BUY","BUY","0.0","469.0","2025-03-29 20:00:29","469.0XRP","2.1319","999.8611USDC","Filled"
"2025-03-29 19:58:20","000116323210","RUNEUSDC","BUY","BUY","0.0","888.0","2025-03-29 19:58:20","888.0RUNE","1.126","999.888USDC","Filled"
"2025-03-29 19:54:37","000116322717","RUNEUSDC","BUY","BUY","0.0","889.6","2025-03-29 19:54:37","889.6RUNE","1.124","999.9104USDC","Filled"
"2025-03-29 19:52:41","000876854966","USDCUSDT","BUY","BUY","0.0","16419.0","2025-03-29 19:52:41","16419.0USDC","1.0004","16425.5676USDT","Filled"
"2025-03-29 19:50:44","000019217255","EURIUSDT","SELL","SELL","0.0","14186.5","2025-03-29 19:50:44","14186.5EURI","1.08156819","15343.66709USDT","Filled"
"2025-03-29 19:49:52","000019217249","EURIUSDT","SELL","SELL","0.0","1000.0","2025-03-29 19:49:52","1000.0EURI","1.0818","1081.8USDT","Filled"
"2025-03-28 23:38:40","001360456321","XRPUSDC","BUY","BUY","2.2003","843.0","2025-03-28 23:38:40","843.0XRP","2.2003","1854.8529USDC","Filled"
"2025-03-28 23:25:13","000019198225","EURIUSDT","BUY","BUY","1.0828","1848.3","2025-03-28 23:25:13","1848.3EURI","1.0828","2001.33924USDT","Filled"
"2025-03-27 16:19:12","000394351604","EURUSDT","BUY","BUY","1.0795","9.6","2025-03-27 16:19:12","9.6EUR","1.0795","10.3632USDT","Filled"
"2025-03-27 16:09:05","000873145559","USDCUSDT","SELL","SELL","1.0008","2000.0","2025-03-27 16:09:05","2000.0USDC","1.0008","2001.6USDT","Filled"
"2025-03-27 15:58:16","000019096648","EURIUSDT","BUY","BUY","1.0811","8596.0","2025-03-27 15:58:16","8596.0EURI","1.07990845","9282.89301USDT","Filled"
"2025-03-27 15:54:25","000019095796","EURIUSDT","BUY","BUY","1.0811","10000.0","2025-03-27 15:54:25","10000.0EURI","1.08098","10809.8USDT","Filled"
"2025-03-27 15:48:33","000873115541","USDCUSDT","SELL","SELL","0.0","10000.0","2025-03-27 15:48:33","10000.0USDC","1.0001","10001.0USDT","Filled"
"2025-03-27 15:33:07","000873089678","USDCUSDT","SELL","SELL","1.0002","10000.0","2025-03-27 15:33:07","10000.0USDC","1.0002","10002.0USDT","Filled"
"2025-03-27 15:30:21","000873085021","USDCUSDT","SELL","SELL","0.0","100.0","2025-03-27 15:30:21","100.0USDC","1.0001","100.01USDT","Filled"
"2025-03-27 14:55:47","000019089152","EURIUSDT","BUY","BUY","1.079","4635.0","2025-03-27 14:55:47","4635.0EURI","1.079","5001.165USDT","Filled"
"2025-03-27 14:53:52","000873024232","USDCUSDT","SELL","SELL","1.0002","5000.0","2025-03-27 14:53:52","5000.0USDC","1.0002","5001.0USDT","Filled"
"2025-03-27 14:42:27","000000672065","EURIUSDC","BUY","BUY","1.0779","100.0","2025-03-27 14:42:27","100.0EURI","1.0779","107.79USDC","Filled"
"2025-03-27 14:26:56","000047827562","EUREURI","SELL","SELL","0.9997","5.1","2025-03-27 14:26:56","5.1EUR","0.9997","5.09847EURI","Filled"
"2025-03-27 09:46:49","000115826428","RUNEUSDC","BUY","BUY","1.111","100.0","2025-03-27 09:46:49","100.0RUNE","1.111","111.1USDC","Filled"
"2025-03-27 09:44:34","000007909174","CAKEUSDC","BUY","BUY","1.567","100.0","2025-03-27 09:44:34","100.0CAKE","1.567","156.7USDC","Filled"
"2025-03-27 09:31:36","000258136201","DOTUSDC","BUY","BUY","3.888","100.0","2025-03-27 09:31:36","100.0DOT","3.888","388.8USDC","Filled"
"2025-03-26 22:27:35","002949758146","MANAUSDT","BUY","BUY","0.2812","1927.0","2025-03-26 22:27:35","1927.0MANA","0.2812","541.8724USDT","Filled"
"2025-03-26 22:25:33","000402302531","FDUSDUSDT","SELL","SELL","0.9983","543.0","2025-03-26 22:25:33","543.0FDUSD","0.9983","542.0769USDT","Filled"
"2025-03-26 22:23:57","000279937903","WIFUSDC","BUY","BUY","0.526","2000.0","2025-03-26 22:23:57","2000.0WIF","0.526","1052.0USDC","Filled"
"2025-03-26 22:14:08","002949746033","MANAUSDT","BUY","BUY","0.2816","1812.0","2025-03-26 22:14:08","1812.0MANA","0.2816","510.2592USDT","Filled"
"2025-03-26 22:12:45","000402299180","FDUSDUSDT","SELL","SELL","0.9983","511.0","2025-03-26 22:12:45","511.0FDUSD","0.9983","510.1313USDT","Filled"
"2025-03-26 21:52:20","000286288450","PEPEFDUSD","BUY","BUY","8.51e-06","54008734.0","2025-03-26 21:52:20","54008734.0PEPE","8.51e-06","459.61432634FDUSD","Filled"
"2025-03-26 21:44:12","000152497468","PENDLEFDUSD","BUY","BUY","2.865","183.0","2025-03-26 21:44:12","183.0PENDLE","2.865","524.295FDUSD","Filled"
"2025-03-25 22:22:41","000546268418","WIFFDUSD","BUY","BUY","0.543","2400.0","2025-03-25 22:22:41","2400.0WIF","0.543","1303.2FDUSD","Filled"
"2025-03-25 21:57:00","000102170452","POLFDUSD","SELL","SELL","0.2285","5878.0","2025-03-25 21:57:00","5878.0POL","0.2285","1343.123FDUSD","Filled"
"2025-03-25 21:51:33","000092653194","POLUSDC","BUY","BUY","0.2282","2700.0","2025-03-25 21:51:33","2700.0POL","0.2282","616.14USDC","Filled"
"2025-03-25 21:50:38","000092653141","POLUSDC","BUY","BUY","0.2277","10000.0","2025-03-25 21:50:38","10000.0POL","0.2277","2277.0USDC","Filled"
"2025-03-25 21:49:09","000092653075","POLUSDC","BUY","BUY","0.2121","10000.0","2025-03-25 21:49:09","10000.0POL","0.2121","2121.0USDC","Filled"
"2025-03-25 20:47:58","000132627155","TAOFDUSD","BUY","BUY","269.7","2.0","2025-03-25 20:47:58","2.0TAO","269.7","539.4FDUSD","Filled"
"2025-03-25 20:11:45","000152284470","PENDLEFDUSD","BUY","BUY","2.955","400.0","2025-03-25 20:11:45","400.0PENDLE","2.955","1182.0FDUSD","Filled"
"2025-03-25 19:58:26","000120965144","GALAFDUSD","BUY","BUY","0.01855","32000.0","2025-03-25 19:58:26","32000.0GALA","0.01855","593.6FDUSD","Filled"
"2025-03-25 19:45:22","000019658179","CETUSUSDC","BUY","BUY","0.1163","8000.0","2025-03-25 19:45:22","8000.0CETUS","0.1163","930.4USDC","Filled"
"2025-03-25 19:38:20","000120963448","GALAFDUSD","BUY","BUY","0.01854","32000.0","2025-03-25 19:38:20","32000.0GALA","0.01854","593.28FDUSD","Filled"
"2025-03-25 19:35:49","000120963035","GALAFDUSD","BUY","BUY","0.01862","27000.0","2025-03-25 19:35:49","27000.0GALA","0.01857","501.39FDUSD","Filled"
