"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-03-27 14:53:52","873024232","USDCUSDT","Limit","SELL","1.0002","5000USDC","2025-03-27 14:53:52","5000USDC","1.0002","5001USDT","FILLED"
"2025-03-27 14:52:55","873022792","USDCUSDT","Limit","SELL","1.0003","10000USDC","2025-03-27 15:46:27","0USDC","0","0USDT","CANCELED"
"2025-03-27 14:51:37","873020445","USDCUSDT","Limit","SELL","1.0003","10000USDC","2025-03-27 15:32:48","0USDC","0","0USDT","CANCELED"
"2025-03-27 14:48:50","873015404","USDCUSDT","Limit","SELL","1.0004","10000USDC","2025-03-27 14:52:09","0USDC","0","0USDT","CANCELED"
"2025-03-27 14:42:27","672065","EURIUSDC","Limit","BUY","1.0779","100EURI","2025-03-27 14:50:06","100EURI","1.0779","107.79USDC","FILLED"
"2025-03-27 14:26:56","47827562","EUREURI","Limit","SELL","0.9997","5.1EUR","2025-03-27 14:26:56","5.1EUR","0.9997","5.09847EURI","FILLED"
"2025-03-27 09:53:08","7911835","CAKEUSDC","Limit","SELL","4.04","100CAKE","2025-03-27 09:53:08","0CAKE","0","0USDC","NEW"
"2025-03-27 09:49:35","115826712","RUNEUSDC","Limit","SELL","2.75","100RUNE","2025-03-29 20:08:55","0RUNE","0","0USDC","CANCELED"
"2025-03-27 09:46:49","115826428","RUNEUSDC","Limit","BUY","1.111","100RUNE","2025-03-29 17:17:24","100RUNE","1.111","111.1USDC","FILLED"
"2025-03-27 09:44:34","7909174","CAKEUSDC","Limit","BUY","1.567","100CAKE","2025-03-27 09:44:34","0CAKE","0","0USDC","NEW"
"2025-03-27 09:42:30","261143279","ATOMUSDC","Limit","BUY","3.888","100ATOM","2025-03-29 20:21:24","0ATOM","0","0USDC","CANCELED"
"2025-03-27 09:40:48","58228311","SUSDC","Limit","BUY","0.3333","100S","2025-03-27 09:40:48","0S","0","0USDC","NEW"
"2025-03-27 09:31:36","258136201","DOTUSDC","Limit","BUY","3.888","100DOT","2025-03-27 09:31:36","0DOT","0","0USDC","NEW"
"2025-03-26 22:27:35","2949758146","MANAUSDT","Limit","BUY","0.2812","1927MANA","2025-03-26 22:28:08","1927MANA","0.2812","541.8724USDT","FILLED"
"2025-03-26 22:25:33","402302531","FDUSDUSDT","Limit","SELL","0.9983","543FDUSD","2025-03-26 22:25:33","543FDUSD","0.9983","542.0769USDT","FILLED"
"2025-03-26 22:23:57","279937903","WIFUSDC","Limit","BUY","0.526","2000WIF","2025-03-26 22:28:26","2000WIF","0.526","1052USDC","FILLED"
"2025-03-26 22:14:08","2949746033","MANAUSDT","Limit","BUY","0.2816","1812MANA","2025-03-26 22:19:47","1812MANA","0.2816","510.2592USDT","FILLED"
"2025-03-26 22:12:45","402299180","FDUSDUSDT","Limit","SELL","0.9983","511FDUSD","2025-03-26 22:12:45","511FDUSD","0.9983","510.1313USDT","FILLED"
"2025-03-26 22:10:13","546476770","WIFFDUSD","Limit","BUY","0.527","1000WIF","2025-03-26 22:21:54","0WIF","0","0FDUSD","CANCELED"
"2025-03-26 21:52:20","286288450","PEPEFDUSD","Limit","BUY","0.00000851","54008734PEPE","2025-03-26 22:05:18","54008734PEPE","0.00000851","459.61432634FDUSD","FILLED"
"2025-03-26 21:44:12","152497468","PENDLEFDUSD","Limit","BUY","2.865","183PENDLE","2025-03-26 22:05:20","183PENDLE","2.865","524.295FDUSD","FILLED"
"2025-03-26 21:42:26","546474694","WIFFDUSD","Limit","BUY","0.527","2000WIF","2025-03-26 22:10:08","0WIF","0","0FDUSD","CANCELED"
