"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2023-09-27 19:11:42","222303395","KSMBUSD","Limit","BUY","18.83","12.887KSM","2023-09-28 08:13:44","12.887KSM","18.83","242.66221BUSD","FILLED"
"2023-09-27 19:08:17","222303385","KSMBUSD","Limit","BUY","18.83","12.887KSM","2023-09-27 19:11:06","0KSM","0","0BUSD","CANCELED"
"2023-09-04 22:31:36","347443543","MATICEUR","Limit","BUY","0.5011","830MATIC","2023-09-08 10:06:30","830MATIC","0.5011","415.913EUR","FILLED"
"2023-09-04 22:22:41","192101852","AVAXEUR","Limit","BUY","8.91","150AVAX","2023-09-10 04:22:11","150AVAX","8.91","1336.5EUR","FILLED"
"2023-09-04 22:21:11","192101810","AVAXEUR","Limit","BUY","9.01","100AVAX","2023-09-04 22:35:53","100AVAX","9.01","901EUR","FILLED"
"2023-09-04 22:16:58","301356456","SOLEUR","Limit","BUY","17.17","100SOL","2023-09-10 04:21:37","100SOL","17.17","1717EUR","FILLED"
"2023-09-04 22:15:49","301356345","SOLEUR","Limit","BUY","17.77","100SOL","2023-09-05 03:01:04","100SOL","17.77","1777EUR","FILLED"
"2023-09-04 22:11:25","408841368","ADAEUR","Limit","BUY","0.2345","10000ADA","2023-09-10 00:20:30","10000ADA","0.2345","2345EUR","FILLED"
"2023-09-04 22:09:51","408841293","ADAEUR","Limit","BUY","0.2354","10000ADA","2023-09-10 00:20:25","10000ADA","0.2354","2354EUR","FILLED"
"2023-09-04 22:08:28","408841270","ADAEUR","Limit","BUY","0.2234","50000ADA","2023-09-11 10:22:09","50000ADA","0.2234","11170EUR","FILLED"
"2023-09-04 17:15:05","184477474","ARBUSD","Limit","BUY","4.04","500AR","2023-09-10 04:22:57","500AR","4.04","2020BUSD","FILLED"
"2023-09-04 17:13:32","184477161","ARBUSD","Limit","BUY","4.11","500AR","2023-09-05 03:00:14","500AR","4.11","2055BUSD","FILLED"
"2023-09-02 11:42:10","154945974","EURBUSD","Limit","SELL","1.0771","2000EUR","2023-09-03 17:29:25","2000EUR","1.0771","2154.2BUSD","FILLED"
"2023-09-02 11:41:14","154945957","EURBUSD","Limit","SELL","1.0762","2000EUR","2023-09-03 17:29:25","2000EUR","1.0762","2152.4BUSD","FILLED"
"2023-09-02 11:27:09","37873115","FTMEUR","Limit","BUY","0.1777","5000FTM","2023-09-10 04:22:29","5000FTM","0.1777","888.5EUR","FILLED"
"2023-09-02 11:26:31","37873100","FTMEUR","Limit","BUY","0.1833","5000FTM","2023-09-10 00:20:30","5000FTM","0.1833","916.5EUR","FILLED"
"2023-09-02 11:25:44","37873094","FTMEUR","Limit","BUY","0.1855","5000FTM","2023-09-03 16:49:25","5000FTM","0.1855","927.5EUR","FILLED"
"2023-09-02 11:25:25","37873093","FTMEUR","Limit","BUY","0.1844","5000FTM","2023-09-06 17:05:45","5000FTM","0.1844","922EUR","FILLED"
"2023-09-02 11:19:51","37873038","FTMEUR","Limit","BUY","0.1811","5000FTM","2023-09-10 04:21:59","5000FTM","0.1811","905.5EUR","FILLED"
"2023-09-02 11:19:04","37873028","FTMEUR","Limit","BUY","0.1711","5000FTM","2023-09-11 19:38:31","5000FTM","0.1711","855.5EUR","FILLED"
"2023-09-02 11:10:49","301154661","SOLEUR","Limit","BUY","14.66","200SOL","2023-09-28 05:45:57","0SOL","0","0EUR","EXPIRED"
"2023-09-02 11:09:55","301154633","SOLEUR","Limit","BUY","16.61","100SOL","2023-09-11 09:24:50","100SOL","16.61","1661EUR","FILLED"
"2023-09-02 10:48:05","506682921","BNBEUR","Limit","BUY","191.9","10BNB","2023-09-11 14:12:17","10BNB","191.9","1919EUR","FILLED"
"2023-09-02 10:07:45","220778801","KSMBUSD","Limit","BUY","18.66","28KSM","2023-09-06 17:05:45","28KSM","18.66","522.48BUSD","FILLED"
"2023-08-26 20:36:28","191913042","AVAXEUR","Limit","BUY","9.3","100AVAX","2023-08-28 05:25:15","100AVAX","9.3","930EUR","FILLED"
"2023-08-26 20:35:03","191913037","AVAXEUR","Limit","BUY","9.29","100AVAX","2023-08-28 05:28:18","100AVAX","9.29","929EUR","FILLED"
"2023-08-26 19:54:51","220246693","KSMBUSD","Limit","BUY","18.88","100KSM","2023-08-31 17:00:05","100KSM","18.88","1888BUSD","FILLED"
"2023-08-26 19:53:41","220246593","KSMBUSD","Limit","BUY","19","100KSM","2023-08-28 05:32:54","100KSM","19","1900BUSD","FILLED"
"2023-08-26 19:47:48","154575509","EURBUSD","Limit","SELL","1.0767","4000EUR","2023-08-26 19:47:48","4000EUR","1.0767","4306.8BUSD","FILLED"
"2023-08-14 17:31:10","218702021","KSMBUSD","Limit","BUY","21.21","25KSM","2023-08-17 21:37:43","25KSM","21.21","530.25BUSD","FILLED"
